nome,cidade,estado,bairro,endereco_completo,cep,email,latitude,longitude
CRAS DEPUTADO ALDO SCHNEIDER,Agrolândia,SC,CENTRO,"Ricardo Hobus, 35",88420000,cras@agrolandia.sc.gov.br,-27.4130524617952,-49.8351430892944
CRAS AGRONOMICA,Agronômica,SC,centro,"Jose Arnoldo dos Santos, 75",89188000,cras@agronomica.sc.gov.br,-2.7265e-10,-4.9711e-10
CRAS,Aguanil,MG,Ibraim José Abraão,"centro, 35",37273000,crasaguanil2012@hotmail.com,-209.441838075877,-45.3941881656672
CRAS Sra Luiza Antonia Milanez,Aguaí,SP,CENTRO,"VALINS, 746",13860000,cras@aguai.sp.gov.br,-2.2059e-10,-4.6979e-10
CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,Agudo,RS,Bairro Caiçara,"ARNILDO EHLE, 377",96540000,cras@agudo.rs.gov.br,-296.337927279494,-532.402825355529
CRAS - Jardim Europa,Agudos,SP,Jardim Europa,"Domingos R. Mendes, S/N",17129060,cras@agudos.sp.gov.br,-224.71528198179,-48.9647448062896
CRAS - NOSSA SENHORA DA CONCEIÇÃO/CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Agudos do Sul,PR,CENTRO,"VEREADOR RAULINO BATISTA FAGUNDES, 46",83850000,agudosdosul.cras@gmail.com,-25.9888514176045,-49.3372070789337
CRAS MARIA MARGARETH LACERDA,Aguiar,PB,CENTRO,"Rua do Campo, S/N",58778000,crasdeaguiar@hotmail.com,-7.09280122250495,-38.1727266311645
CENTRO DE REFERENCIA DA ASSISTÊNCIA SOCIAL,Aguiarnópolis,TO,CENTRO,"RUA DO OURO, 1",77908000,crasdeaguiar@gmail.com,-65.6011111018938,-474.779534339904
CRAS AIMORES,Aimorés,MG,CENTRO,"RAUL SOARES, 812",35200000,crasaimoresmg@gmail.com,-194.93841185201,-41.0679030418396
Centro de Referência de Assistência Social,Aiquara,BA,São Francisco,"Jonival Lucas, 240",45220000,cras_aiquara@hotmail.com,-1.4129e-10,-3.9888e-10
CRAS ARMANDO ARRAES FEITOSA,Aiuaba,CE,Caiçara,"Francisco Lourenço Neto, S/N",63575000,pma.gov.cras@gmail.com,-6.5696274e-07,-4.0124311e-07
CRAS PAULO ROBERTO BENFICA VARGINHA,Aiuruoca,MG,VILA DR. JULINHO,"JOAQUIM CORRÊA DE LIMA, 22",37450000,cras@aiuruoca.mg.gov.br,-2.19546120750616,-4.46475870740675
CRAS - AJURICABA,Ajuricaba,RS,CENTRO,"Oscar Schmidt, S/N",98750000,asocial@ajuricaba.rs.gov.br,-28.2394472334672,-53.7698364257812
CRAS,Alagoa,MG,CENTRO,"ANÍSIO MENDES DA FONSECA, 1",37458000,cras@alagoa.mg.gov.br,-2.2171e-10,-4.4642e-10
CRAS JOÃO BOSCO CARNEIRO,Alagoa Grande,PB,CENTRO,"APOLONIO ZENAYDE, 635",58388000,pmag.social@bol.com.br,-7.089e-11,-3.5635e-10
CRAS DE CAIANA DOS CRIOULOS,Alagoa Grande,PB,ZONA RURAL,"SÍTIO CAIANA DOS CRIOULOS, S/N",58388000,pmag.social@bol.com.br,-7.089e-11,-3.5635e-10
CRAS POSTO 01,Alagoa Nova,PB,Centro,"Mario Lima,S/N, S/N",58125000,craspaifalagoanova@gmail.com,-705.97419310421,-3.57626760005951
Centro de Referencia e Assistência Social,Alagoinha,PB,Centro,"Moura Filho, S/N",58390000,alagoinhapb@yahoo.com.br,-6.95e-12,-3.5545e-10
CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Alagoinha,PE,CENTRO,"RUA VEREADOR OSÓRIO ANTUNES, 62",55260000,alagoinhacras@gmail.com,-84.6910119629387,-367.74667426943694
CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,Alagoinha do Piauí,PI,CENTRO,"TRÊS PODERES, 240",64655000,crasalagoinhadopi@hotmail.com,-7.008e-11,-4.0939e-10
CRAS DO RIACHO DA GUIA,Alagoinhas,BA,Zona rural,"ALEXANDRE FONSECA, 35",48105000,semasalagoinhas@gmail.com,-119.572014708858,-383.78081917762705
CRAS DE BOA UNIÃO,Alagoinhas,BA,zona rural,"MANOEL TEIXEIRA LEAL, S/N",48103000,semasalagoinhas@gmail.com,-121.869195062486,-38.5056263208389
CRAS MANGALÔ,Alagoinhas,BA,MANGALÔ,"MARECHAL ARISTÓTELES DE SOUZA, 895",48001690,crasmangalo@gmail.com,-121.481303111155,-38.442792892456
CRAS PRAÇA DO CEU,Alagoinhas,BA,SANTA TEREZINHA,"RUA SÃO IZIDORO, S/N",48010600,semasalagoinhas@gmail.com,-121.228096679298,-38.4206914901733
CRAS DE NOVA BRASILIA,Alagoinhas,BA,NOVA BRASILIA,"SAO SEVERINO, 367",48000100,semasalagoinhas@gmail.com,-121.28589363826,-38.4441232681274
CRAS Jorgina Maria Machado,Alambari,SP,Centro,"José Wlademir Noronha de Oliveira, 150",18220000,social@alambari.sp.gov.br,-235.523743890305,-4.78990988728765
CRAS - CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL,Albertina,MG,JARDIM DOS IPES,"Praça Epaminondas Brum, S/N",37596000,social@albertina.mg.gov.br,-221.995542427722,-466.250538825988
Centro de Referência de Assistência Social - CRAS/Alcantil,Alcantil,PB,CENTRO,"SÃO JOSÉ, S/N",58460000,semasalcantill@gmail.com,-7.744e-11,-3.6056e-10
CRAS ALCINOPOLIS,Alcinópolis,MS,Centro,"Averaldo Fernandes Barbosa, 841",79530000,orgaogestor.alcinopolis@hotmail.com,-18.327766554295,-53.7080640795466
CRAS I - CASA DA FAMÍLIA CONVIVER,Alcobaça,BA,BEIJA FLOR,"D, S/N",45910000,crasalcobaca@gmail.com,-17.5227640294394,-39.198145866394
CRAS II - SÃO JOSÉ,Alcobaça,BA,PLANALTO,"JOÃO RAFAEL, 355",45910000,alcobacasocial@gmail.com,-174.974303303384,-39.4295454025268
CRAS ALCANTARENSE,Alcântara,MA,CENTRO,"Anel de Contorno, S/N",65250000,crasalcantara2018@gmail.com,-23.9921095277296,-444.158349163444
CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,Alcântaras,CE,Bela Vista,"Praça Gregório Cunha Freire, 146",62120000,acaosocialalcan@yahoo.com,-3.589e-11,-4.0546e-10
CRAS HUMBERTO COSTA PINTO,Aldeias Altas,MA,VILA RITA REIS,"RUA PROJETADA, S/N",65610000,crashcpinto@hotmail.com,-0.46337351557502,-43.4808719158172
CRAS - ERASMO MARCELINO VELOSO DE CARVALHO,Aldeias Altas,MA,LAGOA DO MATO,"SAO FRANCISCO, S/N",65610000,SMAS.ALDEIASALTAS@HOTMAIL.COM,-46.2568270208148,-43.4582340717315
CRAS -  CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL DE ALECRIM,Alecrim,RS,CENTRO,"RUA  VEREADOR MARINO EMILIO KUHN, 453",98950000,crasalecrim@hotmail.com,-276.604645188451,-547.669170868175
CRAS DE Alegre/ES,Alegre,ES,CAMPO DE AVIAÇÃO,"JOSÉ SILVEIRA DOMINGUES, S/N",29500000,cras@alegre.es.gov.br,-207.6564649338,-41.5340656042099
CRAS Casa da Cidadania- zona sul,Alegrete,RS,Kennedy,"Alberto Pasqualini, S/N",97545620,craszonasul@gmail.com,-298.05757691177,-55.8099889755249
CRAS Casa da Família- zona leste,Alegrete,RS,Promorar,"Caverá, 428",97546140,craszonaleste953@gmail.com,-2.97932183e-06,-5.57694394e-06
CRAS 1,Alegrete do Piauí,PI,centro,"antonio joaquim do nascimento, 48",64675000,cras_alegrete.pi@hotmail.com,-7.243e-11,-4.0858e-10
Centro de Referência de Assistência social,Alegria,RS,Centro,"SÃO LOURENÇO, 53",98905000,assistenciasocialalegria@bol.com.br,-27.8348827113692,-54.0626907348632
CRAS I,Alenquer,PA,Esperança,"2 de Junho, S/N",68200000,cvs.alq.pa1@gmail.com,-194.029309044377,-547.2416639328
CRAS II,Alenquer,PA,SAO CRISTOVAO,"JOSE LEITE DE MELO, 1500",68200000,cvs.alq.pa1@gmail.com,-194.592249053785,-54.739294052124
CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,Alexandria,RN,SANTO AMARO,"AUGUSTO SEGUNDO FERNANDES, 71",59965000,crasalexandria@gmail.com,-64.0961059079948,-38.0136179924011
CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Alexânia,GO,Setor Central,"Avenida Brasilia, 338",72930000,seasc@alexania.go.gov.br,-1.6082e-10,-4.8507e-10
CRAS ALVORADA,Alfenas,MG,JARDIM ALVORADA,"EMILIA PEREIRA ESTEVES, 280",37130000,claudineia.pereira@alfenas.mg.gov,-2.1429e-10,-4.5947e-10
CRAS  CENTRAL,Alfenas,MG,CENTRO,"GOVERNADOR VALADARES, 166",37130000,cras.central@alfenas.mg.gov.br,-2.1429e-10,-4.5947e-10
CRAS CAMPOS ELISEOS,Alfenas,MG,CAMPOS ELISEOS,"PAULO MARQUES DE CARVALHO, 345",37130000,cras@alfenas.mg.gov.br,-2.1429e-10,-4.5947e-10
CRAS -Centro de Referência da Assistência Social,Alfredo Chaves,ES,Parque Residencial Alfredo Chaves,"Antônio Cláudio Gaigher, 87",29240000,crasachaves@yahoo.com.br,-206.41218177503,-4.07502168416977
CRAS CASA DAS FAMÍLIAS,Alfredo Marcondes,SP,MANOEL MARTINS,"DOUTOR CARLOS ROBERTO QUAIO, 100",19180000,cras@alfredomarcondes.sp.gov.br,-2.1955e-10,-5.1413e-10
CRAS DE ALFREDO VASCONCELOS,Alfredo Vasconcelos,MG,CENTRO,"AGOSTINHO BIANCHETTI, 110",36272000,cras@alfredovasconcelos.mg.gov.br,-21.1469287609741,-4.37712049484253
CRAS Casa da Família,Alfredo Wagner,SC,Caeté,"Edelberto Schaeffer, 863",88450000,cras@alfredowagner.sc.gov.br,-277.065101761014,-49.3339535593986
CRAS DE ALGODAO DE JANDAIRA,Algodão de Jandaíra,PB,CENTRO,"CONEGO JOSE RODRIGUES FIDELIS, S/N",58399000,acaosocials8@gmail.com,-69.0489872004679,-36.0094984823263
CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Alhandra,PB,Centro,"Claudionor Falsar, 147",58320000,cras.alhandra@gmail.com,-74.371294263737,-3.49145668745041
CRAS - Unidade Caueiras,Aliança,PE,Caueiras,"RUA CORONEL JOÃO ANTÔNIO, 15",55890000,crascaueiras@outlook.com,-75.7398923962924,-35.2398383617401
CRAS - Cidade,Aliança,PE,centro,"Siqueira Campos, 120",55890000,crasalianca.sede@hotmail.com,-7.60406994226223,-35.2295762300491
CRAS Centro de Referencia em Assistencia Social Buritizal,Aliança do Tocantins,TO,Centro,"SABINO DA SILVEIRA, S/N",77455000,cras.buritizal2017@gmail.com,-113.074844378718,-48.9387822154822
CRAS Emília Ferreira Campos,Almadina,BA,Centro,"Artur Leite, S/N",45640000,smasalmadina@hotmail.com,-147.047267883517,-396.36209607124306
CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL ANTÔNIO ELIAS PEREIRA,Almas,TO,Setor Aeroporto,"Tancredo Neves, 45",77310000,crasalmas2021@gmail.com,-115.697004785178,-47.1672168374061
CRAS MONTE DOURADO,Almeirim,PA,AREA INDUSTRIAL,"K1, 159",68240000,crasmtd@gmail.com,-8.64798371513137,-52.5423491000765
CRAS - CASA DAS FAMILIAS,Almeirim,PA,BURITIZAL,"Lameira Bittencourt, S/N",68230000,crasalmeirim@hotmail.com,-152.661853773769,-52.5740003585815
CRAS CIDADE NOVA,Almenara,MG,CIDADE NOVA,"Manoel Mares, 68",39900000,crascidadenova@gmail.com,-161.90664159952,-40.6897813081741
CRAS I,Almenara,MG,CENTRO,"QUERUBIM OTONI, 259",39900000,smasalmenara@gmail.com,-161.810457753404,-4.06971037387848
CRAS RAIMUNDA MARIA DA CONCEIÇÃO,Almino Afonso,RN,Francisco Godeiro Carlos,"Manoel Cordeiro, 249",59760000,smasalminoafonso@rn.gov.br,-61.6263692532657,-37.7623915672302
CRAS I,Almirante Tamandaré,PR,JARDIM ROMA,"BOCAIUVA DO SUL, 273",83504050,cras1@tamandare.pr.gov.br,-2.53261321e-06,-4.92694246e-06
CRAS III,Almirante Tamandaré,PR,JARDIM SÃO VICENTE,"JOSÉ MILEK FILHO, 208",83505000,cras3@tamandare.pr.gov.br,-2.53449838e-06,-4.92555615e-06
CRAS II,Almirante Tamandaré,PR,Tanguá,"Professor Alberto Krause, 1808",83508500,cras2@tamandare.pr.gov.br,-2.53798803e-06,-4.93062364e-06
CRAS IV,Almirante Tamandaré,PR,JARDIM AREIAS,"ZILDA BARBOSA, 113",83514630,cras4@tamandare.pr.gov.br,-2.52365151e-06,-4.93052164e-06
CRAS,Almirante Tamandaré do Su,RS,Centro,"General Lopes de Oliveira, 977",99523000,assistencia@tamandaredosul.com.br,-281.133837166187,-52.9152417182922
CRAS - ALOANDIA,Aloândia,GO,CENTRO,"rua 4 esq. c/ 24 de junho, 14",75615000,cras.cidadania@hotmail.com,-177.268797421079,-494.81735229492097
CRAS ERA NOVA,Alpercata,MG,ERA NOVA,"ALTINO MARQUES, 98",35138000,social@alpercata.mg.gov.br,-189.541425956017,-41.9556522363564
CRAS Hortêncio Salvador Augusto,Alpercata,MG,Cidade Nova,"José Alves Pereira, 685",35138000,cras@alpercata.mg.gov.br,-18.9858182884579,-41.989939212799
Centro de Referencia de Assistencia Social - Alpestre,Alpestre,RS,Centro,"Farrapos, 15",98480000,cras@alpestre.rs.gov.br,-272.542289927462,-53.0293107032775
CRAS JOSE GABRIEL DOS SANTOS,Alpinópolis,MG,CENTRO,"RIO DE JANEIRO, 400",37940000,cras@alpinopolis.mg.gov.br,-208.543502991097,-46.3881558179855
CRAS Casa da Familia,Alta Floresta,MT,JARDIM GUARANÁ II,"BOM PASTOR, 1252",78580000,cras.af@hotmail.com,-98.4000476438149,-560.7078552246089
CRAS CONVIVER,Alta Floresta,MT,SETOR E,"E 1, S/N",78580000,cras-conviveraf@hotmail.com,-98.8299422861228,-56.0881984233856
CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Alta Floresta D'Oeste,RO,PRINCESA ISABEL,"MARANHAO, 3147",76954000,cras_af@hotmail.com,-119.250711601766,-62.0014715194702
CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL DE ALTAIR,Altair,SP,CENTRO,"TRÊS, 80",15430000,cras_altair@yahoo.com.br,-205.231208105371,-49.0619158744812
CRAS CENTRO DE REFEREÊNCIA DE ASSISTÊNCIA SOCIAL - VOVÓ DOLORES,Altamira,PA,Esplanada do Xingu,"Coronel José Porfírio, 3100",68370001,cras1_atm@hotmail.com,-32.1644938878792,-52.2152495384216
CRAS II CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL BENEDITO MACIEL,Altamira,PA,MUTIRAO,"DOIS, 115",68377044,crasatm2@gmail.com,-318.244485768099,-52.2127819061279
CRAS III - SÃO JOAQUIM,Altamira,PA,RUC SÃO JOAQUIM,"Sabugueira, 215",68370000,craslll@outlook.com.br,-319.672067005179,-52.2275733943388
CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL,Altamira do Maranhão,MA,AEROPORTO,"AEROPORTO, S/N",65310000,altamiracras2021@gmail.com,-41.6836900948185,-45.4692506794526
CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Altamira do Paraná,PR,CENTRO,"PERIMETRAL, S/N",85280000,crasaltamiradopr@gmail.com,-247.957733386113,-52.7186465263366
CRAS SUSTENTABILIDADE E CIDADANIA,Altaneira,CE,SANTA TEREZA,"JOÃO GONÇALVES, 614",63195000,crasaltaneira@outlook.com,-70.0180528883065,-39.7407245635986
CRAS SÃO ROMÃO,Altaneira,CE,ZONA RURAL,"SÃO ROMÃO, S/N",63195000,secretariaassistenciasocial@altaneira.ce.g,-6.9778831e-07,-3.9669396e-07
Casa da Família,Alterosa,MG,Bela Vista,"Urias Jose Batista, 62",37145000,cras@alterosa.mg.gov.br,-212.665201585486,-46.1494553089141
CRAS ANTONIO CABOCLO,Altinho,PE,CENTRO,"CAPITAO GUILHERMINO, 188",55490000,crasantoniocaboclo@outlook.com,-84.8950312863683,-36.0618603232796
CRAS I - Centro de Referencia da Assistencia Social,Altinópolis,SP,Vila Maria,"Mato Grosso, 333",14357090,cras@altinopolis.sp.gov.br,-210.206991800141,-4.73756217956543
CRAS SÃO SILVESTRE,Alto Alegre,RR,CENTRO,"JOAQUIM ALVES, 52",69350000,semas.aa.rr@gmail.com,27.4857420680483,-61.1896097660064
CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - CASA DA FAMILIA,Alto Alegre,RS,CENTRO,"MARIO PAGNUSSATT, 707",99430000,assistenciasocial@altoalegre.rs.gov.br,-287.759113743873,-529.883801937103
CRAS,Alto Alegre,SP,CENTRO,"QUINTINO BOCAIUVA, 170",16310000,cras@altoalegre.sp.gov.br,-215.848656421516,-50.1683249475536
CRAS BAIRRO AZUL,Alto Alegre,RR,AZUL,"SANTOS DUMONT, 56",69350000,cras.azul.rr@gmail.com,29.9615915089923,-613.09656663434
CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,Alto Alegre do Maranhão,MA,SANTA LUZIA,"SÃO  PEDRO, S/N",65413000,cras2018aa@gmail.com,-42.0437164916557,-444.423365592956
CRAS - CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL DE AAP-MA,Alto Alegre do Pindaré,MA,VILA FUFUCA,"DA MANGUEIRA, S/N",65398000,crasaap@hotmail.com,-3.69e-12,-4.5903e-10
